Police Id,Licence Number,Fine
1234,DL1C91071,600
1235,DL1C17362,1700
1236,DL1C75802,1700
1237,DL1C77052,1200
1238,DL1C40616,500
1239,DL1C51147,1400
1240,DL1C13134,1000
1241,DL1C80455,600
1242,DL1C27759,2000
1243,DL1C22354,1700
1244,DL1C14211,200
1245,DL1C17546,900
1246,DL1C66419,1300
1247,DL1C41995,1700
1248,DL1C30385,1000
1249,DL1C93146,1100
1250,DL1C89598,1800
1251,DL1C57316,800
1252,DL1C46432,1600
1253,DL1C24402,200
1254,DL1C38397,1200
1255,DL1C94111,2000
1256,DL1C56841,1000
1257,DL1C59152,1000
1258,DL1C94156,1700
1259,DL1C13823,700
1260,DL1C97857,1200
1261,DL1C10693,300
1262,DL1C10499,400
1263,DL1C25472,2000
1264,DL1C83134,1500
1265,DL1C93477,1800
1266,DL1C26819,1200
1267,DL1C16988,1600
1268,DL1C87194,500
1269,DL1C69588,1100
1270,DL1C23032,1800
1271,DL1C66512,1900
1272,DL1C26510,700
1273,DL1C60539,1700
1274,DL1C48336,1400
1275,DL1C26071,900
1276,DL1C27599,1400
1277,DL1C34283,400
1278,DL1C95115,1600
1279,DL1C13428,2000
1280,DL1C28578,200
1281,DL1C41581,500
1282,DL1C14568,1600
1283,DL1C57274,2000
1284,DL1C22014,1000
1285,DL1C93010,1600
1286,DL1C74896,200
1287,DL1C22586,1700
1288,DL1C44106,1800
1289,DL1C17456,500
1290,DL1C15713,400
1291,DL1C41659,2000
1292,DL1C10234,1300
1293,DL1C11936,2000
1294,DL1C46701,300
1295,DL1C50085,1000
1296,DL1C53053,200
1297,DL1C23609,1800
1298,DL1C58377,1300
1299,DL1C35957,1800
1300,DL1C98668,200
1301,DL1C36395,600
1302,DL1C35272,1300
1303,DL1C68652,1700
1304,DL1C70664,1200
1305,DL1C11099,1300
1306,DL1C63989,1000
1307,DL1C98391,600
1308,DL1C69412,1400
1309,DL1C71425,1800
1310,DL1C61896,1300
1311,DL1C76735,600
1312,DL1C22642,1700
1313,DL1C44086,200
1314,DL1C52375,900
1315,DL1C65869,1100
1316,DL1C67828,1700
1317,DL1C82272,1300
1318,DL1C34713,800
1319,DL1C28425,1600
1320,DL1C68782,1900
1321,DL1C81096,1400
1322,DL1C90871,1300
1323,DL1C87092,1100
1324,DL1C96055,600
1325,DL1C94660,900
1326,DL1C54722,1400
1327,DL1C21645,800
1328,DL1C68744,800
1329,DL1C70303,700
1330,DL1C94043,1300
1331,DL1C50564,1200
1332,DL1C70576,600
1333,DL1C57381,1900
1334,DL1C51288,1800
1335,DL1C47417,1100
1336,DL1C25546,1200
1337,DL1C85731,1900
1338,DL1C87899,800
1339,DL1C26642,800
1340,DL1C10072,1500
1341,DL1C64687,700
1342,DL1C52436,2000
1343,DL1C22519,800
1344,DL1C88093,1500
1345,DL1C77292,1400
1346,DL1C26829,1100
1347,DL1C16684,800
1348,DL1C32284,700
1349,DL1C70996,600
1350,DL1C12362,1100
1351,DL1C77662,300
1352,DL1C17826,700
1353,DL1C69385,800
1354,DL1C69677,600
1355,DL1C39111,1600
1356,DL1C92382,1000
1357,DL1C62124,900
1358,DL1C40807,700
1359,DL1C58223,300
1360,DL1C77106,1900
1361,DL1C92705,1900
1362,DL1C39099,1300
1363,DL1C10620,1900
1364,DL1C16374,1800
1365,DL1C82479,700
1366,DL1C52802,400
1367,DL1C88597,1900
1368,DL1C83494,1100
1369,DL1C82153,1400
1370,DL1C90736,500
1371,DL1C76839,1300
1372,DL1C16889,1400
1373,DL1C96894,1600
1374,DL1C93703,600
1375,DL1C52844,1700
1376,DL1C12889,1300
1377,DL1C43080,200
1378,DL1C62883,2000
1379,DL1C56663,1300
1380,DL1C52845,1400
1381,DL1C75648,300
1382,DL1C96439,1700
1383,DL1C15978,800
1384,DL1C98983,1100
1385,DL1C55480,500
1386,DL1C13164,1400
1387,DL1C13132,1400
1388,DL1C13507,1800
1389,DL1C79110,1400
1390,DL1C22523,1400
1391,DL1C68747,300
1392,DL1C58798,1200
1393,DL1C16264,200
1394,DL1C80508,300
1395,DL1C38036,2000
1396,DL1C77191,2000
1397,DL1C65653,1100
1398,DL1C99029,1200
1399,DL1C41362,400
1400,DL1C20121,1000
1401,DL1C68005,1800
1402,DL1C67200,1500
1403,DL1C23924,600
1404,DL1C95118,1000
1405,DL1C14641,1700
1406,DL1C93568,900
1407,DL1C59760,200
1408,DL1C97375,800
1409,DL1C57688,700
1410,DL1C96934,1200
1411,DL1C69011,1100
1412,DL1C11990,900
1413,DL1C49058,1200
1414,DL1C92117,1500
1415,DL1C74089,1600
1416,DL1C47214,1000
1417,DL1C40073,1500
1418,DL1C75116,2000
1419,DL1C61615,800
1420,DL1C93089,2000
1421,DL1C97309,400
1422,DL1C43120,1600
1423,DL1C71507,900
1424,DL1C85239,600
1425,DL1C73746,1500
