Police Id,Licence Number,Fine
1234,DL1C91064,1300
1235,DL1C84528,1100
1236,DL1C73877,1900
1237,DL1C65611,1400
1238,DL1C91457,1100
1239,DL1C56384,900
1240,DL1C55026,1900
1241,DL1C30077,300
1242,DL1C55420,900
1243,DL1C23700,700
1244,DL1C91064,400
1245,DL1C84528,800
1246,DL1C73877,1900
1247,DL1C65611,2000
1248,DL1C91457,1700
1249,DL1C56384,500
1250,DL1C55026,400
1251,DL1C30077,200
1252,DL1C55420,900
1253,DL1C91064,400
1254,DL1C84528,1900
1255,DL1C73877,1200
1256,DL1C65611,1600
1257,DL1C91457,400
1258,DL1C56384,1000
1259,DL1C55026,1100
1260,DL1C35685,900
1261,DL1C49692,900
1262,DL1C58608,500
1263,DL1C24611,500
1264,DL1C40358,1500
1265,DL1C60863,900
1266,DL1C46438,1900
1267,DL1C64570,800
1268,DL1C35717,1400
1269,DL1C37029,1900
1270,DL1C91064,1800
1271,DL1C84528,900
1272,DL1C73877,1900
1273,DL1C65611,700
1274,DL1C91457,1200
1275,DL1C77920,1600
1276,DL1C95491,700
1277,DL1C84283,700
1278,DL1C18406,1000
1279,DL1C50027,1700
1280,DL1C92448,900
1281,DL1C15357,1100
1282,DL1C86639,1700
1283,DL1C91064,2000
1284,DL1C84528,1700
1285,DL1C76009,600
1286,DL1C72805,400
1287,DL1C18276,1000
1288,DL1C43678,900
1289,DL1C40353,1600
1290,DL1C83342,1700
1291,DL1C68037,400
1292,DL1C73431,1500
1293,DL1C40403,1900
1294,DL1C12512,700
1295,DL1C71561,500
1296,DL1C95378,1200
1297,DL1C25946,300
1298,DL1C28717,1600
1299,DL1C42620,200
1300,DL1C86172,1700
1301,DL1C19845,300
1302,DL1C88815,500
1303,DL1C18736,600
1304,DL1C98520,1200
1305,DL1C17987,1700
1306,DL1C64721,900
1307,DL1C89808,1900
1308,DL1C95535,1700
1309,DL1C44615,600
1310,DL1C76652,1300
1311,DL1C18963,2000
1312,DL1C77993,1200
1313,DL1C99539,1900
1314,DL1C41001,1800
1315,DL1C34033,500
1316,DL1C79396,1900
1317,DL1C61394,800
1318,DL1C68121,1700
1319,DL1C57179,2000
1320,DL1C74840,500
1321,DL1C92887,400
1322,DL1C68616,400
1323,DL1C36460,700
1324,DL1C55838,2000
1325,DL1C67170,700
1326,DL1C72490,1800
1327,DL1C71902,1500
1328,DL1C39255,400
1329,DL1C51454,500
1330,DL1C82552,600
1331,DL1C35102,1300
1332,DL1C68745,1200
1333,DL1C48536,400
